Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Office of Science and Technology Policy,Agency Overall,2021,1,0.65,1.65
Federal Energy Regulatory Commission,Agency Overall,2021,1,2.02,3.02
Armed Forces Retirement Home,Agency Overall,2021,0,1.0,1.0
U.S. Agency for International Development,Agency Overall,2021,16,8.25,24.25
Department of Education,Agency Overall,2021,66,26.35,92.35
Department of Health and Human Services,Agency Overall,2021,263,94.55,357.55
Department of Housing and Urban Development,Agency Overall,2021,12,44.47,56.47
Federal Mine Safety and Health Review Commission,Agency Overall,2021,0,1.0,1.0
U.S. Interagency Council on Homelessness,Agency Overall,2021,0,0.05,0.05
United States International Boundary and Water Commission,Agency Overall,2021,0,0.25,0.25
Gulf Coast Ecosystem Restoration Council,Agency Overall,2021,2,0.0,2.0
U.S. Commission on Civil Rights,Agency Overall,2021,0,5.0,5.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2021,0,0.25,0.25
Institute of Museum and Library Services,Agency Overall,2021,0,1.0,1.0
Federal Retirement Thrift Investment Board,Agency Overall,2021,1,0.0,1.0
Equal Employment Opportunity Commission,Agency Overall,2021,32,16.63,48.63
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2021,1,0.0,1.0
Millennium Challenge Corporation,Agency Overall,2021,3,4.0,7.0
James Madison Memorial Fellowship Foundation,Agency Overall,2021,0,0.1,0.1
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2021,0,1.0,1.0
Department of Justice,Agency Overall,2021,455,84.44,539.44
Office of the Director of National Intelligence,Agency Overall,2021,10,1.0,11.0
Selective Service System,Agency Overall,2021,0,0.15,0.15
Federal Open Market Committee,Agency Overall,2021,0,1.0,1.0
General Services Administration,Agency Overall,2021,27,0.5,27.5
National Endowment for the Arts,Agency Overall,2021,0,1.5,1.5
Federal Labor Relations Authority,Agency Overall,2021,0,0.32,0.32
U.S. Department of State,Agency Overall,2021,112,71.2,183.2
National Aeronautics and Space Administration,Agency Overall,2021,6,4.7,10.7
Denali Commission,Agency Overall,2021,1,0.0,1.0
